Class,Spec,Rank,Covenant,Score
Rouge,Subtlety,9,Nightfae,2109.6
Rouge,Subtlety,10,Kyrian,2087
Shaman,Elemental,1,Nightfae,3701.4
Shaman,Elemental,2,Nightfae,3368.6
Shaman,Elemental,3,Nightfae,3284.8
Shaman,Elemental,4,Nightfae,3252.9
Shaman,Elemental,5,Nightfae,3207.8
Shaman,Elemental,6,Nightfae,3200.4
Shaman,Elemental,7,Necrolord,3162.8
Shaman,Elemental,8,Venthyr,3071.9
Shaman,Elemental,9,Kyrian,3065
Shaman,Elemental,10,Nightfae,3027
Shaman,Enhancement,1,Necrolord,2880
Shaman,Enhancement,2,Necrolord,2541
Shaman,Enhancement,3,Nightfae,2528
Shaman,Enhancement,4,Venthyr,2527
Shaman,Enhancement,5,Necrolord,2497.9
Shaman,Enhancement,6,Necrolord,2409.4
Shaman,Enhancement,7,Kyrian,2383.4
Shaman,Enhancement,8,Necrolord,2353.4
Shaman,Enhancement,9,Nightfae,2352
Shaman,Enhancement,10,Necrolord,2350
Warlock,Affliction,1,Nightfae,3206
Warlock,Affliction,2,Nightfae,2881
Warlock,Affliction,3,Nightfae,2877.7
Warlock,Affliction,4,Nightfae,2816.3
Warlock,Affliction,5,Nightfae,2715.8
Warlock,Affliction,6,Nightfae,2685
Warlock,Affliction,7,Nightfae,2681
Warlock,Affliction,8,Nightfae,2670
Warlock,Affliction,9,Nightfae,2650.3
Warlock,Affliction,10,Nightfae,2647.5
Warlock,Demonology,1,Nightfae,2681.8
Warlock,Demonology,2,Nightfae,2175
Warlock,Demonology,3,Nightfae,2170
Warlock,Demonology,4,Nightfae,2169.9
Warlock,Demonology,5,Nightfae,2169.1
Warlock,Demonology,6,Nightfae,2134
Warlock,Demonology,7,Necrolord,2117.5
Warlock,Demonology,8,Nightfae,2114
Warlock,Demonology,9,Nightfae,2106.7
Warlock,Demonology,10,Kyrian,2104
Warlock,Destruction,1,Nightfae,2821
Warlock,Destruction,2,Nightfae,2744.4
Warlock,Destruction,3,Nightfae,2719
Warlock,Destruction,4,Nightfae,2716
Warlock,Destruction,5,Nightfae,2708
Warlock,Destruction,6,Nightfae,2616
Warlock,Destruction,7,Kyrian,2407
Warlock,Destruction,8,Nightfae,2403.5
Warlock,Destruction,9,Nightfae,2381
Warlock,Destruction,10,Nightfae,2358
Warrior,Arms,1,Kyrian,2950.5
Warrior,Arms,2,Necrolord,2642
Warrior,Arms,3,Kyrian,2195.6
Warrior,Arms,4,Kyrian,2172.2
Warrior,Arms,5,Kyrian,2114
Warrior,Arms,6,Nightfae,2107.9
Warrior,Arms,7,Kyrian,2097.5
Warrior,Arms,8,Kyrian,2095.7
Warrior,Arms,9,Kyrian,2086.3
Warrior,Arms,10,Necrolord,2083.9
Warrior,Fury,1,Kyrian,3437.6
Warrior,Fury,2,Kyrian,3243.8
Warrior,Fury,3,Kyrian,3051
Warrior,Fury,4,Kyrian,2990
Warrior,Fury,5,Kyrian,2953.9
Warrior,Fury,6,Kyrian,2921
Warrior,Fury,7,Nightfae,2911
Warrior,Fury,8,Kyrian,2877
Warrior,Fury,9,Kyrian,2802.6
Warrior,Fury,10,Kyrian,2749.6
